product_type,review_text,rating,actual_sentiment,sentiment,compound_score,positive_score,neutral_score,negative_score
tablet,Terrible quality tablet. Would not recommend to anyone.,2,negative,negative,-0.6381,0.0,0.535,0.465
router,The router is incredibly well-designed and reliable.,4,positive,neutral,0.0,0.0,1.0,0.0
speaker,Middle-of-the-road speaker. Neither disappointing nor impressive.,3,neutral,positive,0.5977,0.55,0.45,0.0
camera,Very satisfied with this camera. Would buy again. Would buy again.,5,positive,positive,0.4754,0.236,0.764,0.0
speaker,Very satisfied with this speaker. Would buy again.,5,positive,positive,0.4754,0.306,0.694,0.0
headphones,This headphones is a game-changer! So glad I bought it.,4,positive,positive,0.5551,0.339,0.661,0.0
phone,The phone is incredibly well-designed and reliable.,5,positive,neutral,0.0,0.0,1.0,0.0
monitor,"Average monitor for the price point. Not amazing, not terrible.",3,neutral,negative,-0.6395,0.0,0.605,0.395
printer,The printer stopped working after a week. Very frustrating!,1,negative,negative,-0.6581,0.0,0.527,0.473
printer,This printer is a game-changer! So glad I bought it.,5,positive,positive,0.5551,0.339,0.661,0.0
tablet,Excellent performance from this tablet. 5 stars!,5,positive,positive,0.6114,0.444,0.556,0.0
router,Got this router on sale. It's acceptable for what I paid. The design is okay.,3,neutral,positive,0.4939,0.259,0.741,0.0
router,The router has constant issues that make it unusable.,2,negative,neutral,0.0,0.0,1.0,0.0
camera,I love this camera! It's been working great for months.,4,positive,positive,0.8622,0.551,0.449,0.0
monitor,This monitor has both pros and cons. Works well enough.,3,neutral,positive,0.2732,0.189,0.811,0.0
keyboard,The keyboard stopped working after a week. Very frustrating!,1,negative,negative,-0.6581,0.0,0.527,0.473
laptop,The laptop is incredibly well-designed and reliable. Would buy again.,4,positive,neutral,0.0,0.0,1.0,0.0
smartwatch,Excellent performance from this smartwatch. 5 stars! The design is great.,5,positive,positive,0.8439,0.503,0.497,0.0
speaker,Best speaker I've ever owned. The quality is outstanding.,5,positive,positive,0.8481,0.539,0.461,0.0
phone,This phone is not worth the money. Save yourself the trouble.,1,negative,neutral,-0.0428,0.206,0.514,0.28
camera,I love this camera! It's been working great for months.,4,positive,positive,0.8622,0.551,0.449,0.0
keyboard,"Fantastic keyboard, very happy with my purchase.",5,positive,positive,0.8221,0.603,0.397,0.0
router,This router is a game-changer! So glad I bought it.,5,positive,positive,0.5551,0.339,0.661,0.0
phone,The phone is okay. Nothing special but gets the job done.,3,neutral,neutral,-0.0462,0.12,0.745,0.135
mouse,The mouse has constant issues that make it unusable.,1,negative,neutral,0.0,0.0,1.0,0.0
keyboard,Very satisfied with this keyboard. Would buy again.,5,positive,positive,0.4754,0.306,0.694,0.0
camera,The camera has constant issues that make it unusable. The design is poor.,1,negative,negative,-0.4767,0.0,0.795,0.205
phone,Amazing battery life on this phone. Works like a charm!,5,positive,positive,0.8516,0.608,0.392,0.0
hard drive,Very satisfied with this hard drive. Would buy again.,5,positive,positive,0.4005,0.269,0.609,0.122
